Date,Id,Total electricity consumption,Air Temperature,Radiant Temperature,Operative Temperature,Outside Dry-Bulb Temperature,Glazing,Walls,Ceilings (int),Floors (int),Ground Floors,Partitions (int),Roofs,External Infiltration,External Vent.,General Lighting,Computer + Equip,Occupancy,Solar Gains Interior Windows,Solar Gains Exterior Windows,Zone Sensible Heating,Zone Sensible Cooling,Sensible Cooling,Total Cooling,Mech Vent + Nat Vent + Infiltration
01/01/02,1,0.54,25.8,27.12,26.46,18.92,-2.4,1.68,2.3,2.04,-0.38,0.5,-0.11,-4.84,0,0,0.54,0,0,0,0,0,0,0,0.72
01/01/02,2,0.54,25.53,26.89,26.21,18.39,-2.62,1.89,2.3,2.21,-0.21,0.54,-0.2,-5.04,0,0,0.54,0,0,0,0,0,0,0,0.72
01/01/02,3,0.54,25.32,26.69,26,18.14,-2.44,1.98,2.18,2.28,-0.11,0.56,-0.35,-5.07,0,0,0.54,0,0,0,0,0,0,0,0.72
01/01/02,4,0.54,25.08,26.49,25.78,17.48,-2.5,2.05,2.09,2.31,0.02,0.57,-0.39,-5.38,0,0,0.54,0,0,0,0,0,0,0,0.72
01/01/02,5,0.54,24.72,26.24,25.48,16.41,-2.97,2.24,2.17,2.53,0.26,0.6,-0.3,-5.9,0,0,0.54,0,0,0,0,0,0,0,0.72
01/01/02,6,0.54,23.95,25.95,24.95,16.06,-2.97,2.71,2.45,3.22,0.66,0.68,-0.12,-5.6,0,0,0.54,0,0,0,0,-2.18,0,0,1
01/01/02,7,0.54,24,25.7,24.85,16.85,-2.92,2.59,2.21,3.08,0.63,0.66,-0.39,-5.07,0,0,0.54,0,0,0,0,-1.44,0,0,0.92
01/01/02,8,20.74,24,25.81,24.9,18.49,-1.97,0.97,-0.11,0.61,-0.88,0.4,-2.19,-3.89,-0.19,10.21,10.01,1.62,0.02,2.36,0,-16.2,0,0,3.77
01/01/02,9,21.26,24,26.39,25.2,21.08,0.88,-0.58,-2.45,-3.33,-3.2,0.19,-3.54,-2.05,-1.1,10.21,10.01,3.23,0.12,13.87,0,-21.18,0,0,9.33
01/01/02,10,28.57,24,27.4,25.7,23.95,5.01,-2.52,-4.77,-7.92,-5.58,-0.06,-4.33,-0.04,-0.03,10.21,10.01,6.47,0.26,27.11,0,-32.27,-28.19,-28.19,11.59
01/01/02,11,34.44,24,28.27,26.14,26.63,7.51,-3.48,-4.98,-8.76,-5.41,-0.16,-2.92,1.79,1.99,10.21,10.01,6.47,0.33,30.23,0,-41.26,-54.57,-54.57,6.63
01/01/02,12,37.7,24,28.84,26.42,28.35,8.4,-3.8,-4.04,-7.2,-4.29,-0.18,-0.71,2.95,3.64,10.21,10.01,6.47,0.35,26.76,0,-47.18,-69.24,-69.24,6.66
01/01/02,13,36.62,24,29.2,26.6,29.05,8.46,-3.82,-3.03,-5.74,-3.7,-0.17,1.02,3.42,2.69,10.21,10.01,4.85,0.36,24.14,0,-47.54,-66.74,-66.74,5.08
01/01/02,14,36.49,24,29.44,26.72,28.7,7.9,-3.85,-2.56,-4.39,-3.3,-0.18,1.66,3.19,2.42,10.21,10.01,4.85,0.3,22.84,0,-48.26,-66.14,-66.14,5.06
01/01/02,15,38.01,24,29.56,26.78,27.84,6.83,-3.51,-1.88,-3.45,-3.23,-0.16,1.9,2.61,4.06,10.21,10.01,6.47,0.25,21.88,0,-51.18,-70.67,-70.67,6.9
01/01/02,16,35.9,24,29.4,26.7,26.75,4.81,-2.41,-0.22,-1.17,-2.29,-0.03,2.47,1.87,1.94,10.21,10.01,6.47,0.17,16.08,0,-47.19,-61.17,-61.17,6.54
01/01/02,17,34.57,24,29.17,26.59,25.74,3.42,-1.47,0.91,0.2,-1.91,0.09,2.38,1.18,1.73,10.21,10.01,6.47,0.12,12.25,0,-44.88,-53.74,-55.15,6.85
01/01/02,18,34.02,24,28.72,26.36,24.71,1.62,-0.06,2.53,2.51,-0.77,0.28,2.63,0.48,0.23,10.21,10.01,3.23,0.05,5.2,0,-37.6,-39.48,-57.4,3.66
01/01/02,19,27.69,24,28.21,26.1,23.74,0.32,1.06,3.53,3.85,-0.19,0.42,2.4,-0.19,-0.05,10.21,10.01,1.62,0,0,0,-32.49,-28.23,-31.26,12.77
01/01/02,20,10.01,27.34,28.03,27.69,22.77,-0.57,0.1,2.36,1.45,-1.21,0.23,0.62,-3.18,0,0,10.01,0,0,0,0,0,0,0,0.71
01/01/02,21,0.54,27.53,28,27.76,21.96,-1.47,0.05,1.73,0.71,-1.28,0.23,0.01,-3.88,0,0,0.54,0,0,0,0,0,0,0,0.71
01/01/02,22,0.54,26.68,27.77,27.22,21.14,-1.77,0.86,2.25,1.5,-0.81,0.36,0.2,-3.88,0,0,0.54,0,0,0,0,0,0,0,0.71
01/01/02,23,0.54,26.38,27.56,26.97,20.42,-1.95,1.19,2.29,1.73,-0.66,0.42,0.04,-4.18,0,0,0.54,0,0,0,0,0,0,0,0.71
02/01/02,24,0.54,26.11,27.36,26.74,19.64,-2.02,1.43,2.25,1.87,-0.52,0.46,-0.09,-4.55,0,0,0.54,0,0,0,0,0,0,0,0.72
02/01/02,25,0.54,25.81,27.15,26.48,18.8,-2.26,1.67,2.26,2.04,-0.34,0.5,-0.12,-4.94,0,0,0.54,0,0,0,0,0,0,0,0.72
02/01/02,26,0.54,25.49,26.91,26.2,17.94,-2.66,1.9,2.3,2.25,-0.14,0.54,-0.15,-5.34,0,0,0.54,0,0,0,0,0,0,0,0.72
02/01/02,27,0.54,25.19,26.67,25.93,17.23,-2.73,2.1,2.3,2.45,0.03,0.58,-0.27,-5.64,0,0,0.54,0,0,0,0,0,0,0,0.72
02/01/02,28,0.54,24.88,26.42,25.65,16.5,-3.02,2.27,2.3,2.64,0.22,0.61,-0.36,-5.95,0,0,0.54,0,0,0,0,0,0,0,0.72
02/01/02,29,0.54,24.49,26.14,25.32,15.2,-3.32,2.48,2.35,2.91,0.45,0.64,-0.41,-6.62,0,0,0.54,0,0,0,0,0,0,0,0.72
02/01/02,30,0.54,23.94,25.84,24.89,14.35,-3.44,2.84,2.51,3.43,0.77,0.7,-0.34,-6.85,0,0,0.54,0,0,0,0,-0.74,0,0,0.8
02/01/02,31,0.54,23.93,25.6,24.76,14.95,-3.24,2.7,2.24,3.2,0.75,0.68,-0.63,-6.41,0,0,0.54,0,0,0,0,0,0,0,0.72
02/01/02,32,20.74,24,25.77,24.88,16.77,-1.9,0.9,-0.33,0.25,-1.14,0.39,-2.54,-5.12,0,10.21,10.01,1.62,0.03,3.52,0,-14.96,0,0,2.84
02/01/02,33,21.26,24,26.58,25.29,19.91,1.81,-1.07,-3.23,-5.24,-4.38,0.12,-4.12,-2.87,-0.2,10.21,10.01,3.23,0.17,19.23,0,-22.39,0,0,6.84
02/01/02,34,27.41,24,27.68,25.84,23.42,5.91,-2.96,-5.26,-9.28,-6.09,-0.11,-4.48,-0.41,-0.47,10.21,10.01,6.47,0.29,31.1,0,-33.31,-22.96,-22.96,14.2
02/01/02,35,34.64,24,28.37,26.18,26.64,7.58,-3.54,-4.77,-7.67,-4.51,-0.16,-2.57,1.79,2.37,10.21,10.01,6.47,0.3,28.01,0,-42.11,-55.47,-55.47,6.72
